molecule_chembl_id,canonical_smiles,standard_value
CHEMBL4567992,CCS(=O)(=O)Nc1cc(-c2ccc(O)cc2C)cc2[nH]ncc12,1659.59
CHEMBL4531121,CCS(=O)(=O)Nc1cc(-c2ccc(O)cc2)cc2[nH]ncc12,1995.26
CHEMBL4567359,CS(=O)(=O)Nc1cc(-c2ccc(O)cc2)cc2[nH]ncc12,3981.07
CHEMBL3545215,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3cc(C)n(C)n3)nc21,1000.0
CHEMBL4076947,Cc1cc(Nc2nccc3nc(-c4c(Cl)cc(C#N)cc4Cl)[nH]c23)ncn1,1300.0
CHEMBL2386653,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CCCOC1,210.0
CHEMBL3622821,CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12,45.0
CHEMBL221959,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,39.0
CHEMBL2178252,Cn1cc(NC(=O)c2cnn3cccnc23)c(-c2cccc(Cl)c2)n1,1000.0
CHEMBL2178799,Cn1cc(NC(=O)c2cnn3cccnc23)c(-c2cc(Cl)ccc2Cl)n1,230.0
CHEMBL4786888,Cn1ncc(NC(=O)c2cnn3cccnc23)c1-c1cc(Cl)ccc1Cl,1000.0
CHEMBL4800012,COc1ccc(Cl)cc1-c1n[nH]cc1NC(=O)c1cnn2cccnc12,23.0
CHEMBL2178801,COc1ccc(Cl)cc1-c1nn(C)cc1NC(=O)c1cnn2cccnc12,25.0
CHEMBL4781087,CCOc1ccc(Cl)cc1-c1n[nH]cc1NC(=O)c1cnn2cccnc12,54.0
CHEMBL4762168,O=C(Nc1c[nH]nc1-c1cc(Cl)ccc1OC1CC1)c1cnn2cccnc12,21.0
CHEMBL4790609,O=C(Nc1c[nH]nc1-c1cc(Cl)ccc1OC(F)(F)F)c1cnn2cccnc12,64.0
CHEMBL4744172,O=C(Nc1c[nH]nc1-c1cc(Cl)ccc1OC(F)F)c1cnn2cccnc12,5.2
CHEMBL4777342,Cn1cc(NC(=O)c2cnn3cccnc23)c(-c2cc(Cl)ccc2OC(F)F)n1,4.7
CHEMBL4750979,CSc1ccc(Cl)cc1-c1nn(C)cc1NC(=O)c1cnn2cccnc12,11.0
CHEMBL4778284,O=C(Nc1c[nH]nc1-c1cc(Cl)ccc1SC(F)F)c1cnn2cccnc12,26.0
CHEMBL3667519,COc1ccc(Cl)cc1-c1nc(C)sc1NC(=O)c1cnn2cccnc12,58.0
CHEMBL4740778,Nc1nn2cccnc2c1C(=O)Nc1c[nH]nc1-c1cc(Cl)ccc1OC(F)F,4.0
CHEMBL4793262,O=C(Nc1c[nH]nc1-c1cc(Cl)ccc1OC(F)F)c1cnc2cccnn12,5.0
CHEMBL4760406,Cc1ccn2ncc(C(=O)Nc3c[nH]nc3-c3cc(Cl)ccc3OC(F)F)c2n1,34.0
CHEMBL4746416,C#Cc1ccc2ncc(C(=O)Nc3c[nH]nc3-c3cc(Cl)ccc3OC(F)F)n2n1,13.0
CHEMBL4788860,O=C(Nc1c[nH]nc1-c1cc(Cl)ccc1OC(F)F)c1snc2cccnc12,20.0
CHEMBL4795297,COc1ccc(Cl)cc1-c1nn(C)cc1NC(=O)c1cncc2cccnc12,38.0
CHEMBL4791878,O=C(Nc1c[nH]nc1-c1cc(Cl)ccc1OC(F)F)c1cnc2[nH]ccc2n1,42.0
CHEMBL4780070,O=C(Nc1c[nH]nc1-c1cc(Cl)ccc1OC(F)F)c1cncc2scnc12,9.2
CHEMBL4778449,O=C(Nc1c[nH]nc1-c1cc(Cl)ccc1OC(F)F)c1cncc2ccoc12,36.0
CHEMBL4788474,COc1ccc(Cl)cc1-c1nn(C)cc1NC(=O)c1cncc2c[nH]nc12,20.0
CHEMBL4781423,COc1ccc(Cl)cc1-c1nn(C)cc1NC(=O)c1cncc2cn(C)nc12,93.0
CHEMBL4760562,O=C(Nc1c[nH]nc1-c1cc(Cl)ccc1OC(F)F)c1cncc2c[nH]nc12,18.0
CHEMBL4784721,N#Cc1ccc(OC(F)F)c(-c2n[nH]cc2NC(=O)c2cnn3cccnc23)c1,22.0
CHEMBL4798728,O=C(Nc1c[nH]nc1-c1cc(F)ccc1OC(F)F)c1cnn2cccnc12,34.0
CHEMBL4760135,Cc1ccc(OC(F)F)c(-c2n[nH]cc2NC(=O)c2cnn3cccnc23)c1,27.0
CHEMBL4757833,CCc1ccc(OC(F)F)c(-c2n[nH]cc2NC(=O)c2cnn3cccnc23)c1,13.0
CHEMBL4742159,O=C(Nc1c[nH]nc1-c1cc(Br)ccc1OC(F)F)c1cnn2cccnc12,3.3
CHEMBL4764019,O=C(Nc1c[nH]nc1-c1cc(I)ccc1OC(F)F)c1cnn2cccnc12,2.8
CHEMBL4794915,COc1ccc(Cl)c(F)c1-c1n[nH]cc1NC(=O)c1cnn2cccnc12,15.0
CHEMBL4756876,O=C(Nc1c[nH]nc1-c1c(OC(F)F)ccc(Cl)c1F)c1cnn2cccnc12,14.0
CHEMBL4755407,COc1cc(F)c(Cl)cc1-c1n[nH]cc1NC(=O)c1cnn2cccnc12,42.0
CHEMBL4740223,COc1cc(O)c(Cl)cc1-c1n[nH]cc1NC(=O)c1cnn2cccnc12,140.0
CHEMBL4789075,O=C(Nc1c[nH]nc1-c1cc(Cl)c(O)cc1OC(F)F)c1cnn2cccnc12,36.0
CHEMBL4755725,COc1cc2[nH]ncc2cc1-c1n[nH]cc1NC(=O)c1cnn2cccnc12,370.0
CHEMBL4746726,O=C(Nc1c[nH]nc1-c1cc2cn[nH]c2cc1OC(F)F)c1cnn2cccnc12,40.0
CHEMBL4742382,COc1cc2ccccc2cc1-c1n[nH]cc1NC(=O)c1cnn2cccnc12,14.0
CHEMBL4745474,O=C(Nc1c[nH]nc1-c1cc2ccccc2cc1OC(F)F)c1cnn2cccnc12,6.4
CHEMBL4750845,CCOC(=O)c1cc2c(=O)oc3cc(O)ccc3c2s1,12100.0
CHEMBL1287853,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,6.0
CHEMBL4594275,N#CCC1CCN(c2nc(Nc3ccc(N4CCC(O)CC4)cc3)c3c(=O)[nH]ncc3n2)CC1,5.0
CHEMBL4575813,O=C(CCCCCCn1cc(Nc2ncc(Cl)c(Nc3ccc(Cl)cc3)n2)cn1)NO,4.0
CHEMBL5285324,NC(=O)[C@@H]1[C@H](Nc2nc(Nc3cccc(S(N)(=O)=O)c3)nc3[nH]cnc23)[C@H]2C=C[C@@H]1C2,1.0
CHEMBL5275755,COc1cc(Nc2nc(NC3C4C=CC(C4)C3C(N)=O)c3nc[nH]c3n2)cc(OC)c1OC,1.0
CHEMBL5272100,CC(C)Oc1cccc(Nc2nc(NC3C4C=CC(C4)C3C(N)=O)c3nc[nH]c3n2)c1,1.0
CHEMBL5272356,c1nc2c(NC3CC4CCC3C4)nc(Nc3ccc(N4CCCCC4)cc3)nc2[nH]1,1.0
CHEMBL5270626,NC(=O)C1C2C=CC(C2)C1Nc1nc(Nc2cccc(S(N)(=O)=O)c2)nc2[nH]cnc12,1.0
CHEMBL5405569,CNc1cc(Nc2cccn(-c3ncccc3F)c2=O)nc2c(C(=O)N[C@@H]3C[C@@H]3F)cnn12,50000.0
CHEMBL5418744,CNc1cc(Nc2cccn(-c3ncccc3F)c2=O)nc2c(C(=O)N[C@@H]3CC[C@H]3OC)cnn12,50000.0
CHEMBL5422616,CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)N[C@H]3CC[C@@H]3OC)cnn12,50000.0
CHEMBL5430689,CNc1cc(Nc2cccn(-c3ccc(C)nc3)c2=O)nc2c(C(=O)N[C@H]3CC[C@@H]3OC)cnn12,50000.0
CHEMBL5419281,CNc1cc(Nc2cccn(-c3ocnc3C)c2=O)nc2c(C(=O)N[C@@H]3CC[C@H]3OC)cnn12,20000.0
CHEMBL5425501,N#Cc1ccc(-n2[nH]c(=O)c3cnc(Nc4ccc(F)cn4)cc32)cc1Cl,90000.0
